"Name","MB","DurationMs","Width","Height","FPS","Bitrate"
"《穿普拉达的女王2》Anne封面合成.mp4","4","18800000","2880","3840","25000","16742584"
"《穿普拉达的女王2》Meryl封面合成.mp4","2.89","15600000","2880","3840","25000","12086056"
"《末端派送》毕业设计.mp4","730.14","3998720000","2560","1080","24000","15309072"
"抖音跨年生活花字包装川渝篇.mp4","62.88","337066666","3840","2160","25000","15507920"
"抖音跨年生活花字包装东北篇.mp4","56.12","303573333","3840","2160","25000","15687072"
"抖音跨年生活花字包装广东篇.mp4","82.46","440319999","3840","2160","25000","15715608"
"科兰黎VB修复精华ai三维合成.mp4","31.52","167500000","1080","1920","24000","15547192"
"沃尔沃XGolfBoxMG动画演绎.mp4","24.48","157866666","1920","2558","25000","12827248"
"溪木源XOnePiece ai三维合成.mp4","26.98","143146666","1080","1920","25000","16156976"
"小猿IP形象合成镜头1.mp4","7.58","44400000","3840","2160","25000","15873392"
"小猿IP形象合成镜头2.mp4","5.44","32639999","3840","2160","25000","15189192"
"优衣库X上海博物馆动态海报.mp4","21.2","110293333","2480","3508","25000","16158608"
"智族GQSportsMG动画单板双板.mp4","32.43","227200000","1680","2240","25000","11822352"
"智族GQSportsMG动画高级雪道.mp4","46.15","308266666","1680","2240","25000","12483112"
"智族GQSportsMG动画滑雪搭子.mp4","33.89","218666666","1680","2240","25000","12915104"
"智族GQSportsMG动画滑雪尽头.mp4","28.59","235946666","1680","2240","25000","9986128"
"智族GQSportsMG动画滑雪酒店.mp4","27.44","212266666","1680","2240","25000","10954648"
"智族GQSportsMG动画适合雪场.mp4","42.55","267946666","1680","2240","25000","13214888"
"智族GQSportsMG动画雪场穿搭.mp4","47.22","306346666","1680","2240","25000","12772704"
"智族GQSportsMG动画雪场缆车.mp4","49.2","286293333","1680","2240","25000","14226328"
"智族GQX1664实景合成动画.mp4","21.56","118800000","1500","2000","25000","15066288"
"智族GQX1664MG动画.mp4","25.26","150400000","1440","1920","25000","14114856"
"GQX大众动态海报成都站.mp4","18.95","100000000","3000","4000","25000","15886520"
"GQX大众动态海报上海站.mp4","24.55","100000000","3000","4000","25000","20586152"
"GQX大众动态海报深圳二站.mp4","21.22","100000000","3000","4000","25000","17789704"
"GQX大众动态海报深圳站.mp4","24.47","100000000","3000","4000","25000","20520136"
"Microingredients三维动画埃及站.mp4","9.18","100000000","744","1330","25000","7692880"
"Microingredients三维动画巴西站.mp4","51.81","136000000","1214","2160","25000","31036504"
"Microingredients三维动画云南站.mp4","24.32","130000000","1214","2160","25000","15685960"
"VogueXSwisseMG动画演绎.mp4","22.44","160000000","810","1080","25000","11757968"
